Model,Angle,Layer,CKA,Cosine,RSA
dinov2-small-imagenet1k-1-layer,170,1,0.9733371734619141,1,1
dinov2-small-imagenet1k-1-layer,170,2,0.9672894477844238,1,1
dinov2-small-imagenet1k-1-layer,170,3,0.9771010875701904,1,1
dinov2-small-imagenet1k-1-layer,170,4,0.9680818915367126,1,1
dinov2-small-imagenet1k-1-layer,170,5,0.9537266492843628,1,1
dinov2-small-imagenet1k-1-layer,170,6,0.9373852014541626,1,1
dinov2-small-imagenet1k-1-layer,170,7,0.8963985443115234,1,1
dinov2-small-imagenet1k-1-layer,170,8,0.8543141484260559,1,1
dinov2-small-imagenet1k-1-layer,170,9,0.8296170830726624,1,1
dinov2-small-imagenet1k-1-layer,170,10,0.7989292144775391,1,1
dinov2-small-imagenet1k-1-layer,170,11,0.8625455498695374,1,1
dinov2-small-imagenet1k-1-layer,180,0,0.9430482387542725,1,1
dinov2-small-imagenet1k-1-layer,180,1,0.97967529296875,1,1
dinov2-small-imagenet1k-1-layer,180,2,0.9804114103317261,1,1
dinov2-small-imagenet1k-1-layer,180,3,0.9873582124710083,1,1
dinov2-small-imagenet1k-1-layer,180,4,0.984589695930481,1,1
dinov2-small-imagenet1k-1-layer,180,5,0.9738341569900513,1,1
dinov2-small-imagenet1k-1-layer,180,6,0.9579407572746277,1,1
dinov2-small-imagenet1k-1-layer,180,7,0.9217991828918457,1,1
dinov2-small-imagenet1k-1-layer,180,8,0.911431074142456,1,1
dinov2-small-imagenet1k-1-layer,180,9,0.8697916269302368,1,1
dinov2-small-imagenet1k-1-layer,180,10,0.841420590877533,1,1
dinov2-small-imagenet1k-1-layer,180,11,0.8914259076118469,1,1
dinov2-small-imagenet1k-1-layer,190,0,0.9366112351417542,1,1
dinov2-small-imagenet1k-1-layer,190,1,0.9718352556228638,1,1
dinov2-small-imagenet1k-1-layer,190,2,0.9698233008384705,1,1
dinov2-small-imagenet1k-1-layer,190,3,0.9779765605926514,1,1
dinov2-small-imagenet1k-1-layer,190,4,0.9672305583953857,1,1
dinov2-small-imagenet1k-1-layer,190,5,0.9541105628013611,1,1
dinov2-small-imagenet1k-1-layer,190,6,0.9320653080940247,1,1
dinov2-small-imagenet1k-1-layer,190,7,0.8898547887802124,1,1
dinov2-small-imagenet1k-1-layer,190,8,0.8646764755249023,1,1
dinov2-small-imagenet1k-1-layer,190,9,0.8356826901435852,1,1
dinov2-small-imagenet1k-1-layer,190,10,0.7926598191261292,1,1
dinov2-small-imagenet1k-1-layer,190,11,0.8683417439460754,1,1
dinov2-small-imagenet1k-1-layer,200,0,0.9047699570655823,1,1
dinov2-small-imagenet1k-1-layer,200,1,0.947634756565094,1,1
dinov2-small-imagenet1k-1-layer,200,2,0.9489191174507141,1,1
dinov2-small-imagenet1k-1-layer,200,3,0.9664842486381531,1,1
dinov2-small-imagenet1k-1-layer,200,4,0.9492107629776001,1,1
dinov2-small-imagenet1k-1-layer,200,5,0.9361197352409363,1,1
dinov2-small-imagenet1k-1-layer,200,6,0.9044058322906494,1,1
dinov2-small-imagenet1k-1-layer,200,7,0.8641014099121094,1,1
dinov2-small-imagenet1k-1-layer,200,8,0.8385961651802063,1,1
dinov2-small-imagenet1k-1-layer,200,9,0.816868782043457,1,1
dinov2-small-imagenet1k-1-layer,200,10,0.7708321809768677,1,1
dinov2-small-imagenet1k-1-layer,200,11,0.8608414530754089,1,1
dinov2-small-imagenet1k-1-layer,210,0,0.8825895190238953,1,1
dinov2-small-imagenet1k-1-layer,210,1,0.935553789138794,1,1
dinov2-small-imagenet1k-1-layer,210,2,0.9283348321914673,1,1
dinov2-small-imagenet1k-1-layer,210,3,0.9532543420791626,1,1
dinov2-small-imagenet1k-1-layer,210,4,0.9380974769592285,1,1
dinov2-small-imagenet1k-1-layer,210,5,0.9256929755210876,1,1
dinov2-small-imagenet1k-1-layer,210,6,0.8982082605361938,1,1
dinov2-small-imagenet1k-1-layer,210,7,0.8527112603187561,1,1
dinov2-small-imagenet1k-1-layer,210,8,0.8447299599647522,1,1
dinov2-small-imagenet1k-1-layer,210,9,0.8149359822273254,1,1
dinov2-small-imagenet1k-1-layer,210,10,0.7586578726768494,1,1
dinov2-small-imagenet1k-1-layer,210,11,0.8630608320236206,1,1
dinov2-small-imagenet1k-1-layer,220,0,0.8809155821800232,1,1
dinov2-small-imagenet1k-1-layer,220,1,0.9402768015861511,1,1
dinov2-small-imagenet1k-1-layer,220,2,0.9272830486297607,1,1
dinov2-small-imagenet1k-1-layer,220,3,0.951452910900116,1,1
dinov2-small-imagenet1k-1-layer,220,4,0.9320748448371887,1,1
dinov2-small-imagenet1k-1-layer,220,5,0.911976158618927,1,1
dinov2-small-imagenet1k-1-layer,220,6,0.8857882022857666,1,1
dinov2-small-imagenet1k-1-layer,220,7,0.8461366891860962,1,1
dinov2-small-imagenet1k-1-layer,220,8,0.8451627492904663,1,1
dinov2-small-imagenet1k-1-layer,220,9,0.8157351613044739,1,1
dinov2-small-imagenet1k-1-layer,220,10,0.7660687565803528,1,1
dinov2-small-imagenet1k-1-layer,220,11,0.8665772080421448,1,1
dinov2-small-imagenet1k-1-layer,230,0,0.8893888592720032,1,1
dinov2-small-imagenet1k-1-layer,230,1,0.9411704540252686,1,1
dinov2-small-imagenet1k-1-layer,230,2,0.9238259792327881,1,1
dinov2-small-imagenet1k-1-layer,230,3,0.9526547789573669,1,1
dinov2-small-imagenet1k-1-layer,230,4,0.9316792488098145,1,1
dinov2-small-imagenet1k-1-layer,230,5,0.9074733257293701,1,1
dinov2-small-imagenet1k-1-layer,230,6,0.8835736513137817,1,1
dinov2-small-imagenet1k-1-layer,230,7,0.8419758677482605,1,1
dinov2-small-imagenet1k-1-layer,230,8,0.8364278674125671,1,1
dinov2-small-imagenet1k-1-layer,230,9,0.8175699710845947,1,1
dinov2-small-imagenet1k-1-layer,230,10,0.7755229473114014,1,1
dinov2-small-imagenet1k-1-layer,230,11,0.8671578168869019,1,1
dinov2-small-imagenet1k-1-layer,240,0,0.9065213203430176,1,1
dinov2-small-imagenet1k-1-layer,240,1,0.9455057382583618,1,1
dinov2-small-imagenet1k-1-layer,240,2,0.9253473877906799,1,1
dinov2-small-imagenet1k-1-layer,240,3,0.9535593390464783,1,1
dinov2-small-imagenet1k-1-layer,240,4,0.9348824620246887,1,1
dinov2-small-imagenet1k-1-layer,240,5,0.9159649014472961,1,1
dinov2-small-imagenet1k-1-layer,240,6,0.8929520845413208,1,1
dinov2-small-imagenet1k-1-layer,240,7,0.8516202569007874,1,1
dinov2-small-imagenet1k-1-layer,240,8,0.8407921195030212,1,1
dinov2-small-imagenet1k-1-layer,240,9,0.8287878632545471,1,1
dinov2-small-imagenet1k-1-layer,240,10,0.8026109337806702,1,1
dinov2-small-imagenet1k-1-layer,240,11,0.874606192111969,1,1
dinov2-small-imagenet1k-1-layer,250,0,0.9071341753005981,1,1
dinov2-small-imagenet1k-1-layer,250,1,0.9518193602561951,1,1
dinov2-small-imagenet1k-1-layer,250,2,0.9389337301254272,1,1
dinov2-small-imagenet1k-1-layer,250,3,0.9607732892036438,1,1
dinov2-small-imagenet1k-1-layer,250,4,0.9428402781486511,1,1
dinov2-small-imagenet1k-1-layer,250,5,0.9248765707015991,1,1
dinov2-small-imagenet1k-1-layer,250,6,0.902354896068573,1,1
dinov2-small-imagenet1k-1-layer,250,7,0.8531684279441833,1,1
dinov2-small-imagenet1k-1-layer,250,8,0.7931187748908997,1,1
dinov2-small-imagenet1k-1-layer,250,9,0.800987958908081,1,1
dinov2-small-imagenet1k-1-layer,250,10,0.7919644713401794,1,1
dinov2-small-imagenet1k-1-layer,250,11,0.8729604482650757,1,1
dinov2-small-imagenet1k-1-layer,260,0,0.9403321743011475,1,1
dinov2-small-imagenet1k-1-layer,260,1,0.9726974368095398,1,1
dinov2-small-imagenet1k-1-layer,260,2,0.9619487524032593,1,1
dinov2-small-imagenet1k-1-layer,260,3,0.9745294451713562,1,1
dinov2-small-imagenet1k-1-layer,260,4,0.9588208198547363,1,1
dinov2-small-imagenet1k-1-layer,260,5,0.9434728622436523,1,1
dinov2-small-imagenet1k-1-layer,260,6,0.9281619787216187,1,1
dinov2-small-imagenet1k-1-layer,260,7,0.8891798853874207,1,1
dinov2-small-imagenet1k-1-layer,260,8,0.7953410148620605,1,1
dinov2-small-imagenet1k-1-layer,260,9,0.8018589615821838,1,1
dinov2-small-imagenet1k-1-layer,260,10,0.8187825083732605,1,1
dinov2-small-imagenet1k-1-layer,260,11,0.8841047286987305,1,1
dinov2-small-imagenet1k-1-layer,270,0,0.9451077580451965,1,1
dinov2-small-imagenet1k-1-layer,270,1,0.9805386066436768,1,1
dinov2-small-imagenet1k-1-layer,270,2,0.9676584601402283,1,1
dinov2-small-imagenet1k-1-layer,270,3,0.9821728467941284,1,1
dinov2-small-imagenet1k-1-layer,270,4,0.975558340549469,1,1
dinov2-small-imagenet1k-1-layer,270,5,0.964909553527832,1,1
dinov2-small-imagenet1k-1-layer,270,6,0.9574042558670044,1,1
dinov2-small-imagenet1k-1-layer,270,7,0.9235392808914185,1,1
dinov2-small-imagenet1k-1-layer,270,8,0.8431613445281982,1,1
dinov2-small-imagenet1k-1-layer,270,9,0.8422638773918152,1,1
dinov2-small-imagenet1k-1-layer,270,10,0.8735830783843994,1,1
dinov2-small-imagenet1k-1-layer,270,11,0.9169607758522034,1,1
dinov2-small-imagenet1k-1-layer,280,0,0.9421309232711792,1,1
dinov2-small-imagenet1k-1-layer,280,1,0.9773098230361938,1,1
dinov2-small-imagenet1k-1-layer,280,2,0.9529291391372681,1,1
dinov2-small-imagenet1k-1-layer,280,3,0.9735296964645386,1,1
dinov2-small-imagenet1k-1-layer,280,4,0.9611225128173828,1,1
dinov2-small-imagenet1k-1-layer,280,5,0.946578860282898,1,1
dinov2-small-imagenet1k-1-layer,280,6,0.9341563582420349,1,1
dinov2-small-imagenet1k-1-layer,280,7,0.9031739830970764,1,1
dinov2-small-imagenet1k-1-layer,280,8,0.807669460773468,1,1
dinov2-small-imagenet1k-1-layer,280,9,0.8340612649917603,1,1
dinov2-small-imagenet1k-1-layer,280,10,0.851837158203125,1,1
dinov2-small-imagenet1k-1-layer,280,11,0.9028855562210083,1,1
dinov2-small-imagenet1k-1-layer,290,0,0.9209944605827332,1,1
dinov2-small-imagenet1k-1-layer,290,1,0.9531431198120117,1,1
dinov2-small-imagenet1k-1-layer,290,2,0.939563512802124,1,1
dinov2-small-imagenet1k-1-layer,290,3,0.9599164724349976,1,1
dinov2-small-imagenet1k-1-layer,290,4,0.9412152171134949,1,1
dinov2-small-imagenet1k-1-layer,290,5,0.9315139651298523,1,1
dinov2-small-imagenet1k-1-layer,290,6,0.9034790992736816,1,1
dinov2-small-imagenet1k-1-layer,290,7,0.879726767539978,1,1
dinov2-small-imagenet1k-1-layer,290,8,0.8208016157150269,1,1
dinov2-small-imagenet1k-1-layer,290,9,0.8294222950935364,1,1
dinov2-small-imagenet1k-1-layer,290,10,0.8399288058280945,1,1
dinov2-small-imagenet1k-1-layer,290,11,0.90013587474823,1,1
dinov2-small-imagenet1k-1-layer,300,0,0.9147051572799683,1,1
dinov2-small-imagenet1k-1-layer,300,1,0.9506176710128784,1,1
dinov2-small-imagenet1k-1-layer,300,2,0.9271345138549805,1,1
dinov2-small-imagenet1k-1-layer,300,3,0.9513128995895386,1,1
dinov2-small-imagenet1k-1-layer,300,4,0.9335671067237854,1,1
dinov2-small-imagenet1k-1-layer,300,5,0.9210789203643799,1,1
dinov2-small-imagenet1k-1-layer,300,6,0.8999942541122437,1,1
dinov2-small-imagenet1k-1-layer,300,7,0.8845446705818176,1,1
dinov2-small-imagenet1k-1-layer,300,8,0.8697918057441711,1,1
dinov2-small-imagenet1k-1-layer,300,9,0.8661840558052063,1,1
dinov2-small-imagenet1k-1-layer,300,10,0.8727442026138306,1,1
dinov2-small-imagenet1k-1-layer,300,11,0.9195924997329712,1,1
dinov2-small-imagenet1k-1-layer,310,0,0.8985522985458374,1,1
dinov2-small-imagenet1k-1-layer,310,1,0.9405781030654907,1,1
dinov2-small-imagenet1k-1-layer,310,2,0.9224005341529846,1,1
dinov2-small-imagenet1k-1-layer,310,3,0.947827160358429,1,1
dinov2-small-imagenet1k-1-layer,310,4,0.9321520328521729,1,1
dinov2-small-imagenet1k-1-layer,310,5,0.9172884225845337,1,1
dinov2-small-imagenet1k-1-layer,310,6,0.9000447392463684,1,1
dinov2-small-imagenet1k-1-layer,310,7,0.8923259973526001,1,1
dinov2-small-imagenet1k-1-layer,310,8,0.9018821716308594,1,1
dinov2-small-imagenet1k-1-layer,310,9,0.8902427554130554,1,1
dinov2-small-imagenet1k-1-layer,310,10,0.8904218673706055,1,1
dinov2-small-imagenet1k-1-layer,310,11,0.9317660331726074,1,1
dinov2-small-imagenet1k-1-layer,320,0,0.9059041738510132,1,1
dinov2-small-imagenet1k-1-layer,320,1,0.9458567500114441,1,1
dinov2-small-imagenet1k-1-layer,320,2,0.9391323328018188,1,1
dinov2-small-imagenet1k-1-layer,320,3,0.9573964476585388,1,1
dinov2-small-imagenet1k-1-layer,320,4,0.9385010600090027,1,1
dinov2-small-imagenet1k-1-layer,320,5,0.9215764999389648,1,1
dinov2-small-imagenet1k-1-layer,320,6,0.9050580263137817,1,1
dinov2-small-imagenet1k-1-layer,320,7,0.9036754965782166,1,1
dinov2-small-imagenet1k-1-layer,320,8,0.8991517424583435,1,1
dinov2-small-imagenet1k-1-layer,320,9,0.9001511931419373,1,1
dinov2-small-imagenet1k-1-layer,320,10,0.906233549118042,1,1
dinov2-small-imagenet1k-1-layer,320,11,0.9450721740722656,1,1
dinov2-small-imagenet1k-1-layer,330,0,0.910527229309082,1,1
dinov2-small-imagenet1k-1-layer,330,1,0.9470340609550476,1,1
dinov2-small-imagenet1k-1-layer,330,2,0.9465612769126892,1,1
dinov2-small-imagenet1k-1-layer,330,3,0.9596251249313354,1,1
